patient_id,ho_ten,cccd,ngay_sinh,so_dien_thoai,email,dia_chi,benh,ket_qua_xet_nghiem,bac_si_phu_trach,ngay_kham
bdd640fb-0667-4ad1-9c80-317fa3b1799d,Quang Phạm,204332181960,05/09/1945,0313389083,maijohn@example.net,"338 John Số
Thị xã JaneThành phố, 895667",Khỏe mạnh,5.37,Quý cô Thành Vũ,28/01/2026
1a2a73ed-562b-4f79-8374-59eef50bea63,Kim Trần,502654235116,12/09/1961,0355940781,jane07@example.net,"849 Hoàng Làng
Thành phố JohnHuyện, 183667",Khỏe mạnh,4.17,Cô Hồng Vũ,23/03/2026
5ec42e08-29a3-42e9-9d65-a441d58842de,Trung Đức Trần,595931034131,17/12/1979,0847525534,johnle@example.com,"5 John Đường
JaneHuyện, 169403",Tiểu đường,8.68,Bà Mai Dương,13/03/2026
24933b83-7577-40a9-a491-f0b2ea1fca65,Hoàng Phạm,383276483503,17/11/1989,0356413953,jane96@example.com,"7 John Ngõ
Quận JaneXã, 166613",Khỏe mạnh,6.86,Kim Mai Mai,15/02/2026
02f06b90-f143-462f-9c5c-0eed8da0365b,Hải Mai,824238849696,23/04/1990,0732871012,john46@example.org,"2 Jane Làng
Huyện JohnXã, 916449",Huyết áp cao,10.23,Duyên Đặng,29/03/2026
e0f3eab0-5cec-4eb5-add9-68311ca35cfb,Quang Nguyễn,791669784801,28/01/1953,0945146270,tranjane@example.org,"Quận JaneXã
89 Phạm Làng, 847581",Tim mạch,11.76,Thành Đặng,20/03/2026
3f76be1d-1efa-4197-b394-988f847fd9b4,Cô Linh Nguyễn,381489325288,10/06/1978,0395701543,johnnguyen@example.org,"105 John Khu
JohnXã, 238739",Tiểu đường,5.55,Anh Châu Bùi,04/02/2026
5ab33edf-6e59-4ed3-a8b3-17fa18d0752b,Kim Mai Nguyễn,217182278248,25/08/1984,0963834657,nguyenjane@example.net,"338 Lê Số
Huyện JaneQuận, 179046",Khỏe mạnh,4.53,Ông Hưng Mai,31/05/2026
c0e9ab30-ed26-42e9-97e0-11b7f8102383,Chị Hồng Dương,415098393010,19/08/1970,0510518347,knguyen@example.com,"74 Mai Dãy
Quận JaneQuận, 161324",Huyết áp cao,8.08,Yến Đặng,11/01/2026
eb5cf467-80ba-4d64-ba0e-cfea958ca9ba,Cô Phương Trần,837631165667,23/08/1997,0310651333,hoangjohn@example.net,"939 John Số
JaneQuận, 802258",Khỏe mạnh,4.69,Quang Đức Bùi,24/01/2026
50f0fd0a-750c-4b75-8ccc-9bc2a53f8a28,An Dương,347317810801,02/11/1980,0526773602,tranjohn@example.net,"354 Jane Khu
Huyện JohnQuận, 377312",Khỏe mạnh,3.52,Hà Mai,28/01/2026
b7b56ea7-35eb-432d-9ad6-20ab48212ddb,Trung Đức Mai,747468723430,27/02/1971,0980500978,tranjane@example.com,"427 Mai Đường
Thành phố JohnXã, 137778",Huyết áp cao,3.98,Nhiên Trí Bùi,23/01/2026
eededb07-e623-4689-9d59-cd2a4eea04e7,Xuân Đặng,912191361939,30/10/1950,0909169985,johndang@example.net,"2 John Hẻm
JohnQuận, 872343",Tim mạch,5.24,Huy Hải Vũ,29/01/2026
df465290-61ee-411a-9bac-27a7b386f7a4,Ánh Dương,634624751079,24/09/1951,0911838425,tdang@example.org,"54 Jane Tổ
JaneThành phố, 220944",Tiểu đường,10.97,Phúc Hoàng,23/06/2026
98b8e4cc-1bc0-44fc-89cb-394243f59a85,Thành Tấn Bùi,642784980841,30/09/1979,0541182449,buijohn@example.com,"883 Bùi Ngõ
JanePhường, 989208",Huyết áp cao,9.6,Nhật Vũ,02/04/2026
6703b636-5380-4904-a88c-7015aab97e49,Tùng Lê,448740164005,01/07/1949,0542786801,nle@example.net,"43 Hoàng Tổ
JaneThị xã, 808446",Tiểu đường,11.53,Quý cô Vi Lê,29/04/2026
a2086977-a9f2-4336-83f4-a9a948a639d0,Vũ Hải Vũ,380598262045,22/11/1951,0353315869,johnnguyen@example.org,"1 Bùi Làng
JaneThị xã, 355836",Huyết áp cao,11.37,Cô Hà Bùi,09/02/2026
8498e113-b227-462c-b53d-4330cdda24ba,Ông Tùng Phạm,422602563421,21/06/2002,0807337543,duongjohn@example.com,"98 Mai Dãy
Thị xã JaneHuyện, 888295",Huyết áp cao,3.7,Bà Vi Mai,29/03/2026
13d5f2f7-709b-4d97-864c-04af3d3f3799,Quang Vũ,465414586850,05/01/1960,0342940196,lejohn@example.org,"3 Jane Số
JaneThị xã, 165290",Tim mạch,9.69,Quý cô Hồng Hoàng,20/06/2026
c3fe0183-e172-4725-9b52-ca5805000bc6,Nhật Văn Đặng,669816934060,17/04/1957,0983561595,ibui@example.net,"34 Dương Đường
JanePhường, 812131",Tiểu đường,9.62,Nhật Xuân Dương,15/06/2026
06e745f9-88bc-439c-9f4c-3b79fb10987f,Khoa Văn Trần,584656482366,01/06/1982,0599468044,janele@example.org,"755 Vũ Số
JohnThị xã, 120324",Huyết áp cao,7.15,Linh Phạm,28/04/2026
0a4e5b70-a6d9-44a3-b510-ab53c7fee39f,Mai Phạm,677738721489,04/10/1996,0713433200,johnle@example.com,"45 John Hẻm
JohnXã, 126925",Huyết áp cao,11.86,Nhiên Bùi,13/03/2026
9793b9b4-1374-4146-b2c5-bd89b70b3420,Cô Yến Vũ,276936763201,26/07/1997,0832870831,hoangjohn@example.com,"850 Dương Ngõ
JanePhường, 968962",Khỏe mạnh,4.63,Anh Huy Lê,13/05/2026
9dac6e83-4524-4ea6-a684-6099f7294951,Quý ông Huy Hoàng,888957986872,01/02/1955,0874348734,johnvu@example.com,"9 Đặng Đường
JaneQuận, 611233",Khỏe mạnh,4.16,Bà Vi Vũ,03/03/2026
e14eb70d-b380-473a-989d-9d4ae15ca666,Tùng Nguyễn,534558122362,17/03/1973,0516658760,johnpham@example.net,"7 Dương Đường
Huyện JohnThị xã, 825391",Huyết áp cao,10.58,Bà Dương Hoàng,08/03/2026
6cedd15d-5800-4c02-87ea-7ff58db06746,Quang Mai Vũ,790967054668,16/11/1957,0993734670,johnpham@example.com,"374 Trần Làng
JohnHuyện, 288158",Khỏe mạnh,6.36,Nam Mai,23/01/2026
8da8eee4-0df5-4ac6-b96b-648a0ba6eab9,Hoàng Dương,727298069901,25/12/1942,0827204653,hoangjane@example.com,"047 John Số
JohnXã, 760021",Khỏe mạnh,6.28,Lan Lê,27/05/2026
fe716b14-15ce-4a66-8dc8-2a1ef2f9e5fa,Cô Vân Bùi,746417080531,03/10/1979,0303309232,janeduong@example.com,"99 John Làng
Huyện JohnQuận, 351516",Khỏe mạnh,9.19,Cô Bảo Nguyễn,15/03/2026
4a8ff810-784c-4f29-9804-02a2b07aa066,Mai Vũ,474529912419,07/02/1987,0349663193,rtran@example.org,"18 John Khu
Thành phố JohnQuận, 931131",Tiểu đường,9.43,Trọng Hoàng,15/06/2026
b04d3376-77fc-4703-9fd5-a423706c5c56,Thành Vũ,591905865185,11/01/1972,0367165726,fduong@example.net,"5 Nguyễn Ngõ
Thành phố JaneXã, 142185",Huyết áp cao,9.74,Quý cô Phương Dương,14/06/2026
6f962882-95d8-4980-bf37-d19c2e76128b,Ông Châu Đặng,598776945314,21/04/1965,0837996507,john25@example.com,"6 Jane Ngõ
JaneHuyện, 221552",Tim mạch,5.05,Phương Văn Mai,25/03/2026
5c9d927d-84b8-41bb-b005-68d20de051a6,Quý ông Hưng Phạm,454549480831,27/12/1954,0567837770,janeduong@example.net,"9 John Khu
Thị xã JohnQuận, 982277",Tiểu đường,6.0,Nhật Trần,27/04/2026
b77350ca-eec2-49dc-bf95-897c276aa6ce,Minh Vũ,734957885685,28/10/1965,0774443135,pduong@example.com,"982 Jane Số
JaneThành phố, 396578",Tiểu đường,9.81,Nhiên Hoàng,29/06/2026
7250ee18-260a-4962-9d81-b7f57d5911c6,Bác Dũng Mai,333749894134,09/03/1991,0552408240,uduong@example.org,"Thị xã JohnThị xã
76 Lê Dãy, 138817",Tiểu đường,8.2,Bà Hà Dương,18/01/2026
b8f21423-03ed-41f8-b4f9-3d17e912b4bf,Quý cô Hải Lê,371094777520,15/12/1940,0771167190,jane96@example.net,"8 Đặng Dãy
Thành phố JohnPhường, 817644",Huyết áp cao,4.77,Quang Trần,20/03/2026
b4323070-a23d-4c2f-82a7-96891933918c,Nhật Lê,513186999386,26/02/1986,0874964990,nguyenjane@example.org,"23 Hoàng Hẻm
Quận JohnXã, 501126",Tiểu đường,11.55,Quý cô Xuân Hoàng,26/01/2026
75a66981-4104-48b5-a34d-b7c5760debbb,Nam Dương,434123281206,13/04/2001,0897403447,johnduong@example.com,"JanePhường
43 Dương Ngõ, 348728",Tiểu đường,9.34,Khoa Phú Hoàng,23/02/2026
fa5a91ca-059d-455d-8b94-3e30b303f438,Hạnh Văn Hoàng,593618324210,24/08/1998,0549947174,hoangjane@example.com,"5 John Khu
Thành phố JohnHuyện, 926918",Khỏe mạnh,11.51,Ông Nhiên Đặng,12/05/2026
53a3dd5a-4b8c-4bdc-a8dd-5e5a1712fb16,Bảo Hoàng Lê,987719065940,28/11/1992,0339904902,jane24@example.com,"JaneThành phố
236 Trần Số, 114594",Khỏe mạnh,7.91,Tùng Trần,23/03/2026
431d029f-ac1e-46d8-bfbf-397bac3e7b0d,Hải Phú Trần,842967175655,03/10/1984,0325674680,nnguyen@example.net,"1 Vũ Số
Quận JohnThành phố, 419149",Khỏe mạnh,4.25,Ông Tú Phạm,09/06/2026
5efa9c5b-7421-4f46-a37e-4b0122bae10e,Khoa Trí Bùi,551680876038,21/04/1983,0797703482,ahoang@example.com,"773 Trần Tổ
JohnThị xã, 389282",Tim mạch,7.22,Cô Ánh Dương,17/01/2026
98de8ebb-a3b5-4ece-a446-be72364c911a,Ngọc Đặng,810932480861,10/04/1953,0517127484,johntran@example.net,"529 Jane Hẻm
Huyện JohnThành phố, 793169",Khỏe mạnh,10.6,Lan Nguyễn,06/03/2026
52e2afd9-96bf-40ab-bce9-15e7c9d6a63b,Lan Vũ,837826398214,27/04/1939,0858404499,hmai@example.net,"89 Jane Làng
Huyện JanePhường, 132663",Khỏe mạnh,10.85,Chi Bùi,18/03/2026
e8e22743-b65f-4ea9-bd82-42641ba362e7,Ông Vũ Đặng,887558867533,25/11/1979,0963605766,lejane@example.net,"98 Dương Số
Thành phố JohnThị xã, 573489",Huyết áp cao,7.71,Quý cô Linh Dương,13/03/2026
6d4067f4-5003-4b35-9857-8bafbac7e2b9,Anh Phú Lê,128951718702,19/08/1985,0821745961,ftran@example.org,"5 John Tổ
Thị xã JanePhường, 886730",Tim mạch,10.74,Nhật Thị Vũ,19/04/2026
81e5c9f6-93f2-47cc-9a85-910d5a057c11,Chị Dương Dương,965780913431,12/11/1951,0811724005,dangjane@example.org,"89 Jane Đường
Huyện JaneHuyện, 468074",Tiểu đường,5.99,Lan Lê,12/04/2026
bdb025ff-2451-45a4-91d0-59b26699cd99,Hương Mai,662386922219,14/03/1951,0893792374,vduong@example.org,"9 John Hẻm
Thành phố JohnHuyện, 564637",Khỏe mạnh,5.67,Nhật Mai Bùi,19/02/2026
585d3f86-1d23-44e6-8329-20b7c143f426,Hà Thế Hoàng,174821759464,07/01/1971,0843671369,john36@example.net,"32 Vũ Tổ
Thành phố JanePhường, 551574",Tim mạch,8.39,Chị Kim Mai,07/05/2026
ab05347f-d556-437d-8f08-81ee8011316b,Vũ Hữu Nguyễn,506409097439,04/05/1967,0733942104,utran@example.net,"6 Trần Số
Huyện JohnXã, 582446",Khỏe mạnh,3.78,Vũ Bảo Trần,13/02/2026
1422373f-8622-48d1-a683-e10796c044d0,Hạnh Tấn Phạm,621456232858,22/10/1959,0942474517,johnmai@example.net,"52 John Hẻm
JohnQuận, 731661",Tiểu đường,4.7,Cô Bảo Dương,25/03/2026
72eb7474-9458-454e-8287-4f069050f7ef,Dũng Trí Dương,468516048175,23/06/1940,0796513709,yvu@example.com,"1 Dương Dãy
Thành phố JaneHuyện, 180458",Tim mạch,11.28,Khoa Hoàng,02/04/2026
f4488385-8de7-4d6c-9490-77c27674456f,Chi Hoàng,417461200471,29/01/1983,0338267586,jane82@example.org,"1 John Làng
JaneXã, 648141",Huyết áp cao,11.03,Bà Thành Vũ,11/03/2026
990f0c5b-adcc-4daf-969f-3ab3c6435300,Vi Đặng,279640537735,21/04/1940,0358506431,maijane@example.com,"19 Jane Khu
JohnXã, 843266",Khỏe mạnh,4.28,Hạnh Mai,09/03/2026
20b71785-d02c-40c1-9417-0a17caaa5bbe,Hải Bùi,490053293183,12/08/1972,0933529042,dangjane@example.org,"33 John Ngõ
JohnXã, 908320",Huyết áp cao,8.09,Dương Đặng,07/06/2026
6070b6a1-98e5-4499-a18c-6e1c9e374f7a,Chị Bảo Hoàng,310205395024,22/07/1994,0326811775,janenguyen@example.com,"94 Phạm Làng
JaneQuận, 485709",Tiểu đường,7.34,Quý ông Khoa Bùi,01/04/2026
d11fc8c0-297c-44ff-b75d-599f6b2d5b09,Chị Ánh Vũ,490847007661,21/04/1939,0871159212,jdang@example.org,"12 Dương Hẻm
JohnQuận, 956375",Tim mạch,8.81,Bác Nam Bùi,10/01/2026
